Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5613a94c079280b8af61272e71c1be2453cbff967a3385b30dc4d22499648ebd,2013-06,Durham Constabulary,Durham Constabulary,-1.550533,54.547590,On or near LOWSON STREET,E01012323,Darlington 002C,Offender given a caution
309b22e649338b8e14742e407638a28382d2ad418621598a86657a202ed3eb75,2013-06,Durham Constabulary,Durham Constabulary,-1.578663,54.540564,On or near BOWEN ROAD,E01012310,Darlington 006B,Suspect charged
9e60811b9b50db74101a3b01ee62a50e2585568b769682bb0dceb777146ef2be,2013-06,Durham Constabulary,Durham Constabulary,-1.541275,54.775971,On or near Supermarket,E01020693,County Durham 029A,Suspect charged as part of another case
e29068ecae44144cc23245ca483bb70730e96913bea48473a40d6d9d8a36c7b3,2013-06,Durham Constabulary,Durham Constabulary,,,No location,,,Offender given a caution
b4e1b8d2a130ee5dc7a14cc591f4ab11355dfe4c03523afbdc3ca14e4128833e,2013-06,Durham Constabulary,Durham Constabulary,,,No location,,,Suspect charged
c9663bad5ee58e992a5b662bb28326e85ef06085b7cd68aa1d8e56d47ce6c19a,2013-06,Durham Constabulary,Durham Constabulary,-1.407492,54.720187,On or near FOUNDRY MEWS,E01020792,County Durham 040E,Suspect charged
6d816f2e2249e66669f08a415166e9283eb08fa920343a4fe5c5d2b12548a79c,2013-06,Durham Constabulary,Durham Constabulary,,,No location,,,Suspect charged
9ff389d8961a7785e37f285d0dbc68074c6b624502cca6d5dde44b2bd9f2ab23,2013-06,Durham Constabulary,Durham Constabulary,-1.677243,54.658109,On or near Petrol Station,E01020868,County Durham 055A,Offender given a caution
183076e3a0d9854253c03271dba2e8d2e3efaeef870aabe46d065b29ba8f6fb6,2013-06,Durham Constabulary,Durham Constabulary,-1.631500,54.673562,On or near DAIRY LANE,E01020875,County Durham 051B,Suspect charged
8656aff1f17b079a55f17d3116ad67106194befc24a8cedc1f4f55451fdf085f,2013-06,Durham Constabulary,Durham Constabulary,-1.745901,54.711941,On or near Parking Area,E01020877,County Durham 046A,Suspect charged
560ce68b5f72f900ef339c7c04a574c589b3de8d3fb488f3f7b38defd6f68e45,2013-06,Durham Constabulary,Durham Constabulary,-1.746271,54.714862,On or near Further/Higher Educational Building,E01020877,County Durham 046A,Offender given a caution
6c596241d6507d94f42c14a26fa91ffbe42ab3f9d2df94dec64e8efe617d8a3b,2013-06,Durham Constabulary,Durham Constabulary,-1.594271,54.623396,On or near STAINMORE CRESCENT,E01020816,County Durham 061A,Suspect charged
cdc7e5c8bbb76dfb3679d853184e8b569963de8d2d4599a14fdd004390b93357,2013-06,Durham Constabulary,Durham Constabulary,,,No location,,,Suspect charged
8db114b907ec0246f46713496dfe6afda68c3e33392888ba53ccc16867e70987,2013-06,Durham Constabulary,Durham Constabulary,-1.614278,54.697431,On or near Sports/Recreation Area,E01020836,County Durham 052E,Offender given a caution
a6ab8288c43511f09ddea5225e3a9f11c7aa5fec80e42468da57f6e1db184736,2013-06,Durham Constabulary,Durham Constabulary,-1.558981,54.661556,On or near HUNTER TERRACE,E01020805,County Durham 053D,Suspect charged
5a5ec9ac0737be620eb0369653e65ed6a4470314c906b3a29ff66be65b0c9a8f,2013-06,Durham Constabulary,Durham Constabulary,-1.519292,54.856001,On or near CARNATION AVENUE,E01020591,County Durham 015B,Suspect charged
6c34647ac374460716fa7c6e1ba8ae00e72c45c5b6e61b3e1ff142ba184afe42,2013-06,Durham Constabulary,Durham Constabulary,,,No location,,,Suspect charged
5692523418351e4b92de4ad71756a7c9064e39813b594e58d748b22d090a3604,2013-06,Durham Constabulary,Durham Constabulary,-1.744051,54.862802,On or near NORTH ROAD,E01020638,County Durham 006B,Offender given a caution
